time,RelHum,Rain,LongWave,ShortWave,WindSpeed,AirTemp
2016-06-25 00:00,74.192276,0.28,334.3986511,140.4173584,3.738145113,10.14785156
2016-06-26 00:00,73.39239502,0.05,321.6495056,256.4169312,2.886953592,11.00548706
2016-06-27 00:00,71.72958374,0.05,318.8216858,247.9494171,0.671959281,11.48226318
2016-06-28 00:00,75.96975708,0.53,348.5994263,192.1898804,1.975593925,14.28817139
2016-06-29 00:00,76.37327576,2.33,344.2351379,244.7415314,2.364132881,15.4182373
2016-06-30 00:00,78.13333893,0.08,320.6861267,269.7611084,2.979893684,13.67739258
2016-07-01 00:00,87.57033539,9.73,340.4608765,109.2673187,2.086777687,12.09075317
2016-07-02 00:00,75.63043213,1.6,325.2474976,231.9918518,4.049477577,12.9777771
2016-07-03 00:00,89.3183136,7.48,337.8696899,135.0942993,3.059220552,12.01009521
2016-07-04 00:00,78.61368561,1.68,319.346405,222.3059082,4.35128212,12.512323
2016-07-05 00:00,91.85170746,2.68,343.3588562,112.9235611,0.972039402,11.99776611
2016-07-06 00:00,77.1627121,0.34,334.2184753,205.4455566,3.836407661,13.3635498
2016-07-07 00:00,76.49731445,3.18,336.6691284,197.2800598,4.755422115,13.52153931
2016-07-08 00:00,70.08120728,0.03,326.6834412,221.839386,5.650608063,13.42592773
2016-07-09 00:00,73.01229858,0.26,331.5695496,164.0062408,4.856864929,13.16536865
2016-07-10 00:00,72.90893555,0.27,345.8560486,184.8104553,4.159594059,13.35198364
2016-07-11 00:00,80.31323242,5.8,319.6787109,211.7650909,1.317290425,12.6635376
2016-07-12 00:00,78.75796509,2.61,341.3037415,168.145462,2.436655521,12.93551025
2016-07-13 00:00,78.07033539,0.1,346.2250061,200.9651184,1.799051881,12.42467651
2016-07-14 00:00,90.82211304,5.69,351.3986206,149.0176544,3.70851922,12.89074097
2016-07-15 00:00,77.52336884,0.05,323.512085,238.3148804,3.583893538,13.48824463
2016-07-16 00:00,78.86323547,0.07,340.09198,220.5349731,2.28266263,13.64928589
2016-07-17 00:00,77.22346497,0,358.7475891,231.8201599,1.759393692,14.28768311
2016-07-18 00:00,68.45880127,0,363.0118713,243.2918549,4.344796658,14.90737305
2016-07-19 00:00,74.33257294,0,299.4460144,282.835022,1.356173277,13.61031494
2016-07-20 00:00,81.36256409,0.05,355.92453,249.4352417,0.794549465,15.21639404
2016-07-21 00:00,79.7256012,0.28,344.852417,246.1613617,1.043370485,16.84224854
2016-07-22 00:00,78.37546539,0.04,371.0135498,170.6340027,0.856609225,16.79723511
2016-07-23 00:00,77.88079071,0.1,343.3384399,243.7684631,0.738617182,17.23543701
2016-07-24 00:00,81.2717514,0.32,369.9335022,225.7499695,1.114627361,18.27300415
2016-07-25 00:00,80.46533966,2.71,364.0477905,221.6890259,1.28974092,18.16228638
2016-07-26 00:00,76.64038849,0.03,366.0537415,236.9249725,1.265653253,18.72866211
2016-07-27 00:00,85.38950348,0.3,361.1773682,165.1626587,2.261311531,16.55999146
2016-07-28 00:00,86.08010101,0.11,355.6590576,170.7237091,1.687058806,15.71428833
2016-07-29 00:00,81.21430206,0.05,346.9970093,252.2670441,1.905189753,18.01903687
2016-07-30 00:00,82.36669159,0.08,382.9745178,184.9430237,1.190140963,19.53954468
2016-07-31 00:00,85.85243988,17.29,382.499176,133.8271027,1.58574605,19.40661011
2016-08-01 00:00,76.68028259,0.92,354.5467224,237.4591064,2.847076416,18.25643311
2016-08-02 00:00,89.9165802,7.86,366.1856995,123.5399933,2.091491938,16.04223022
2016-08-03 00:00,85.172966,12.59,351.6682129,180.5856476,2.485184669,17.26955566
2016-08-04 00:00,85.95897675,12.52,347.5457153,153.6459198,3.40196228,15.51049194
2016-08-05 00:00,78.24510956,1.2,359.7806396,205.1486664,3.677612782,17.30263672
2016-08-06 00:00,84.43697357,4.59,359.3256531,199.8093262,4.27010107,17.48595581
2016-08-07 00:00,89.51655579,18.05,353.0814514,188.2566528,3.877550364,16.07268677
2016-08-08 00:00,89.56890106,8.91,351.8092651,85.05063629,4.82862711,12.76433716
2016-08-09 00:00,72.0801239,0.02,348.5772095,152.0697479,1.988344908,13.67748413
2016-08-10 00:00,74.47877502,0.06,341.1834412,161.1627655,0.36989519,13.88329468
2016-08-11 00:00,73.08613586,0.54,318.9603271,217.4295807,1.091707587,14.49758301
2016-08-12 00:00,78.32089233,3.37,330.6322021,181.4252167,2.731964827,14.76439819
2016-08-13 00:00,83.79860687,4.68,360.7756958,120.616478,3.019481421,14.67797241
2016-08-14 00:00,79.19236755,1.83,337.8127747,195.2879333,4.312506199,15.89876709
2016-08-15 00:00,76.8818512,0.43,341.0783386,206.3996887,2.606569529,15.26439819
2016-08-16 00:00,83.50184631,0.79,363.068512,170.1690979,2.456654787,15.6831604
2016-08-17 00:00,86.68897247,3.34,354.0232544,189.6902313,3.270090103,17.43639526
2016-08-18 00:00,89.87883759,5.96,355.542572,176.2480011,1.128240585,17.62044678
2016-08-19 00:00,83.9052124,0.19,368.9378052,192.9120941,1.606920958,16.78838501
2016-08-20 00:00,77.7313385,1.73,360.7394104,134.5892639,2.319150448,14.63637695
2016-08-21 00:00,77.54271698,0.69,344.6440735,135.8601685,2.19652009,13.41433105
2016-08-22 00:00,80.36201477,2.25,353.6048584,139.1773987,0.9358477,13.49395142
2016-08-23 00:00,74.44880676,0.03,323.5795898,190.1696472,1.793987632,15.27144775
2016-08-24 00:00,76.34931183,0.02,345.0265198,161.8980255,1.668408275,15.20980225
2016-08-25 00:00,79.91621399,0.06,354.8215027,151.0570831,2.926317215,15.0251709
2016-08-26 00:00,83.41651917,0.67,360.7151794,121.0589371,4.483905315,15.19967041
2016-08-27 00:00,72.36305237,3.06,342.5931091,123.9400024,1.909020066,12.52770386
2016-08-28 00:00,67.59379578,4.31,323.6768494,105.9212723,2.352557182,10.29076538
2016-08-29 00:00,67.2167511,0.16,338.4333801,123.4885712,2.954458475,11.54485474
2016-08-30 00:00,81.66026306,0.11,354.0810852,116.8025665,3.746876478,13.5826355
2016-08-31 00:00,89.04152679,4.51,361.9178162,75.00429535,6.374904156,14.7645813
2016-09-01 00:00,82.19822693,2.89,345.1233826,99.66927338,5.692602158,14.38790283
2016-09-02 00:00,73.67719269,0.22,335.7688599,143.8943024,5.364082336,13.09707031
2016-09-03 00:00,82.14733124,8.77,350.7244568,134.5782318,5.613605022,13.61797485
2016-09-04 00:00,87.34836578,15.67,336.7306519,91.78642273,4.745546341,12.77764282
2016-09-05 00:00,74.91297913,0.07,338.0361023,129.1851654,6.678916454,12.93267212
2016-09-06 00:00,83.2293396,2.06,352.5827942,140.4266968,5.533659935,13.58983765
2016-09-07 00:00,96.14071655,19,355.006073,43.21917725,1.288954854,13.44289551
2016-09-08 00:00,95.67126465,8.72,353.934906,33.52947998,1.904331684,13.40575562
2016-09-09 00:00,79.49364471,2.07,335.526886,137.2093048,5.869039536,12.34719238
2016-09-10 00:00,93.00706482,36.44,358.2800293,34.65098953,4.186448097,14.0380188
2016-09-11 00:00,85.76122284,20.2,351.4224548,139.7126923,5.769207954,14.61321411
2016-09-12 00:00,71.49207306,0.01,321.8634644,144.7476807,1.661440611,11.65862427
2016-09-13 00:00,93.11927795,30.77,346.8061829,27.38972855,5.039670467,11.77941284
2016-09-14 00:00,85.04184723,2.64,341.3135071,65.13449097,7.421496391,11.26824341
2016-09-15 00:00,71.11096191,0.06,311.1945801,152.9751587,6.136171818,11.72963867
2016-09-16 00:00,85.91844177,29.09,351.9450073,27.44862175,6.282473087,13.26156006
2016-09-17 00:00,67.73001099,1.11,299.1464539,129.1434174,9.511991501,11.7446228
2016-09-18 00:00,80.17098236,0.12,305.2571106,101.6672211,2.678471804,11.46270142
2016-09-19 00:00,78.99765778,0.07,294.9629822,141.9224396,2.705044508,10.71395264
2016-09-20 00:00,83.94364166,3.55,307.1470642,91.56339264,2.17566824,9.372644043
2016-09-21 00:00,83.64064026,1.31,311.0817261,123.8827209,1.724636912,9.907617188
2016-09-22 00:00,91.01177216,5.31,331.7510986,72.44985962,2.310768366,10.03295288
2016-09-23 00:00,84.11513519,30.03,326.3606567,94.91228485,6.205710888,12.65929565
2016-09-24 00:00,80.73127747,0.11,307.1685791,77.53308105,4.68340683,10.5130249
2016-09-25 00:00,85.53308868,0.2,333.9825745,74.51420593,4.617425919,10.58809814
2016-09-26 00:00,83.58135986,0.93,346.8152161,66.18547821,5.783854961,11.87716064
2016-09-27 00:00,93.47265625,24.39,340.1880493,18.64526367,2.107101679,10.32409058
2016-09-28 00:00,68.44077301,0.05,298.8426208,111.1551971,4.655770302,7.310601807
2016-09-29 00:00,72.8278656,0.05,282.2485352,108.9324875,1.334561586,6.160241699
2016-09-30 00:00,76.04829407,0.06,315.8370667,103.828331,0.877542555,7.538995361
2016-10-01 00:00,77.59368134,0.07,293.1807251,78.26904297,0.518969417,6.968988037
2016-10-02 00:00,75.74528503,0.13,312.3230591,68.35926056,1.481780648,7.936364746
2016-10-03 00:00,76.27693176,0.01,295.3492126,100.4225693,2.593378782,8.827264404
2016-10-04 00:00,82.91269684,0.17,323.8430176,65.05987549,0.853480697,9.109460449
2016-10-05 00:00,83.1424408,0.08,308.2068176,88.35910797,2.302414179,8.548364258
2016-10-06 00:00,89.22254181,2.09,317.2846375,63.63063049,0.949595809,7.790734863
2016-10-07 00:00,92.52838898,3.64,328.7120972,64.7038269,1.964869022,8.682427979
2016-10-08 00:00,85.26226807,0,301.3513794,98.02742767,3.743402958,8.913079834
2016-10-09 00:00,92.8931427,5.23,335.8231506,54.21332169,2.468969345,10.42629395
2016-10-10 00:00,89.55449677,0.13,338.4507751,68.77983856,0.944462359,11.33101807
2016-10-11 00:00,95.47109985,2.79,342.9234314,39.1771431,3.717800856,11.01650391
2016-10-12 00:00,89.28455353,1.55,338.537323,47.45453262,4.960235119,10.61742554
2016-10-13 00:00,84.54457092,0.62,317.5329895,50.91893768,2.613234282,8.80602417
2016-10-14 00:00,79.26815796,0.52,308.3602295,62.02939224,3.77329278,6.881463623
2016-10-15 00:00,87.9059906,0.86,318.5213318,48.84191513,2.245252609,7.081689453
2016-10-16 00:00,93.56764984,17.06,327.7802734,14.33639336,2.476898432,8.557061768
2016-10-17 00:00,88.54611206,9.5,336.0701294,47.87220001,4.014371395,12.01253662
2016-10-18 00:00,91.63173676,19.96,334.6716614,12.06161213,3.738642693,11.36528931
2016-10-19 00:00,92.10621643,0.04,316.4316406,23.93732643,2.653581619,9.051049805
2016-10-20 00:00,76.07897186,0.02,304.6895447,47.00631714,3.203551531,7.503411865
2016-10-21 00:00,77.83408356,0.04,317.132843,48.42998505,1.397843838,6.405999756
2016-10-22 00:00,93.10289001,3.03,345.0817871,27.82806778,4.52886343,11.30797729
2016-10-23 00:00,85.85406494,0.1,341.3497925,50.80469894,3.877066374,11.44143066
2016-10-24 00:00,92.40222931,4.37,340.2571411,16.95974922,2.535115004,10.36037598
2016-10-25 00:00,83.38169861,0.18,296.7918091,53.54979324,7.005453587,9.982995605
2016-10-26 00:00,76.26586151,0.01,323.6747742,51.3400383,3.905982256,8.180596924
2016-10-27 00:00,65.61768341,0.05,314.0684814,21.95575714,4.212894917,6.742547607
