time,flow
2016-12-25 00:00,0.419
2016-12-26 00:00,0.414
2016-12-27 00:00,0.269
2016-12-28 00:00,0.203
2016-12-29 00:00,0.168
2016-12-30 00:00,0.147
2016-12-31 00:00,0.138
2017-01-01 00:00,0.122
2017-01-02 00:00,0.113
2017-01-03 00:00,0.108
2017-01-04 00:00,0.099
2017-01-05 00:00,0.095
2017-01-06 00:00,0.092
2017-01-07 00:00,0.089
2017-01-08 00:00,0.09
2017-01-09 00:00,0.136
2017-01-10 00:00,0.127
2017-01-11 00:00,0.12
2017-01-12 00:00,0.108
2017-01-13 00:00,0.092
2017-01-14 00:00,0.089
2017-01-15 00:00,0.114
2017-01-16 00:00,0.116
2017-01-17 00:00,0.105
2017-01-18 00:00,0.097
2017-01-19 00:00,0.091
2017-01-20 00:00,0.087
2017-01-21 00:00,0.084
2017-01-22 00:00,0.081
2017-01-23 00:00,0.078
2017-01-24 00:00,0.078
2017-01-25 00:00,0.076
2017-01-26 00:00,0.075
2017-01-27 00:00,0.076
2017-01-28 00:00,0.134
2017-01-29 00:00,0.126
2017-01-30 00:00,0.104
2017-01-31 00:00,0.129
2017-02-01 00:00,0.127
2017-02-02 00:00,0.12
2017-02-03 00:00,0.11
2017-02-04 00:00,0.185
2017-02-05 00:00,0.162
2017-02-06 00:00,0.216
2017-02-07 00:00,0.416
2017-02-08 00:00,0.204
2017-02-09 00:00,0.16
2017-02-10 00:00,0.145
2017-02-11 00:00,0.151
2017-02-12 00:00,0.154
2017-02-13 00:00,0.147
2017-02-14 00:00,0.134
2017-02-15 00:00,0.125
2017-02-16 00:00,0.119
2017-02-17 00:00,0.114
2017-02-18 00:00,0.113
2017-02-19 00:00,0.109
2017-02-20 00:00,0.107
2017-02-21 00:00,0.11
2017-02-22 00:00,0.114
2017-02-23 00:00,0.34
2017-02-24 00:00,0.557
2017-02-25 00:00,0.847
2017-02-26 00:00,0.682
2017-02-27 00:00,0.375
2017-02-28 00:00,0.256
2017-03-01 00:00,0.212
2017-03-02 00:00,0.18
2017-03-03 00:00,0.22
2017-03-04 00:00,0.742
2017-03-05 00:00,0.416
2017-03-06 00:00,0.275
2017-03-07 00:00,0.248
2017-03-08 00:00,0.291
2017-03-09 00:00,0.286
2017-03-10 00:00,0.227
2017-03-11 00:00,0.204
2017-03-12 00:00,0.188
2017-03-13 00:00,0.176
2017-03-14 00:00,0.167
2017-03-15 00:00,0.16
2017-03-16 00:00,0.156
2017-03-17 00:00,0.153
2017-03-18 00:00,0.2
2017-03-19 00:00,0.217
2017-03-20 00:00,0.189
2017-03-21 00:00,0.208
2017-03-22 00:00,0.183
2017-03-23 00:00,0.165
2017-03-24 00:00,0.155
2017-03-25 00:00,0.148
2017-03-26 00:00,0.139
2017-03-27 00:00,0.114
2017-03-28 00:00,0.11
2017-03-29 00:00,0.121
2017-03-30 00:00,0.161
2017-03-31 00:00,0.168
2017-04-01 00:00,0.133
2017-04-02 00:00,0.119
2017-04-03 00:00,0.115
2017-04-04 00:00,0.108
2017-04-05 00:00,0.105
2017-04-06 00:00,0.104
2017-04-07 00:00,0.102
2017-04-08 00:00,0.1
2017-04-09 00:00,0.097
2017-04-10 00:00,0.094
2017-04-11 00:00,0.094
2017-04-12 00:00,0.092
2017-04-13 00:00,0.09
2017-04-14 00:00,0.089
2017-04-15 00:00,0.086
2017-04-16 00:00,0.086
2017-04-17 00:00,0.084
2017-04-18 00:00,0.083
2017-04-19 00:00,0.082
2017-04-20 00:00,0.081
2017-04-21 00:00,0.081
2017-04-22 00:00,0.079
2017-04-23 00:00,0.08
2017-04-24 00:00,0.079
2017-04-25 00:00,0.077
2017-04-26 00:00,0.076
2017-04-27 00:00,0.069
2017-04-28 00:00,0.066
2017-04-29 00:00,0.072
2017-04-30 00:00,0.071
2017-05-01 00:00,0.067
2017-05-02 00:00,0.066
2017-05-03 00:00,0.068
2017-05-04 00:00,0.068
2017-05-05 00:00,0.062
2017-05-06 00:00,0.059
2017-05-07 00:00,0.057
2017-05-08 00:00,0.066
2017-05-09 00:00,0.067
2017-05-10 00:00,0.067
2017-05-11 00:00,0.065
2017-05-12 00:00,0.057
2017-05-13 00:00,0.058
2017-05-14 00:00,0.055
2017-05-15 00:00,0.068
2017-05-16 00:00,0.061
2017-05-17 00:00,0.061
2017-05-18 00:00,0.06
2017-05-19 00:00,0.059
2017-05-20 00:00,0.068
2017-05-21 00:00,0.059
2017-05-22 00:00,0.06
2017-05-23 00:00,0.056
2017-05-24 00:00,0.055
2017-05-25 00:00,0.055
2017-05-26 00:00,0.053
2017-05-27 00:00,0.054
2017-05-28 00:00,0.053
2017-05-29 00:00,0.06
2017-05-30 00:00,0.053
2017-05-31 00:00,0.05
2017-06-01 00:00,0.05
2017-06-02 00:00,0.048
2017-06-03 00:00,0.053
2017-06-04 00:00,0.05
2017-06-05 00:00,0.093
2017-06-06 00:00,0.607
2017-06-07 00:00,0.316
2017-06-08 00:00,0.499
2017-06-09 00:00,0.362
2017-06-10 00:00,0.183
2017-06-11 00:00,0.226
2017-06-12 00:00,0.166
2017-06-13 00:00,0.115
2017-06-14 00:00,0.098
2017-06-15 00:00,0.094
2017-06-16 00:00,0.081
2017-06-17 00:00,0.075
