Date,PHY_cyno
2016-06-02 00:00:00,2.04671E-09
2016-06-03 00:00:00,2.13524E-09
2016-06-04 00:00:00,2.22377E-09
2016-06-05 00:00:00,2.3123E-09
2016-06-06 00:00:00,2.40084E-09
2016-06-07 00:00:00,2.48937E-09
2016-06-08 00:00:00,2.5779E-09
2016-06-09 00:00:00,2.66644E-09
2016-06-10 00:00:00,2.75497E-09
2016-06-11 00:00:00,2.8435E-09
2016-06-12 00:00:00,2.93203E-09
2016-06-13 00:00:00,3.02057E-09
2016-06-14 00:00:00,3.1091E-09
2016-06-15 00:00:00,3.19763E-09
2016-06-16 00:00:00,3.28617E-09
2016-06-17 00:00:00,3.3747E-09
2016-06-18 00:00:00,3.46323E-09
2016-06-19 00:00:00,3.55176E-09
2016-06-20 00:00:00,3.6403E-09
2016-06-21 00:00:00,3.72883E-09
2016-06-22 00:00:00,3.81736E-09
2016-06-23 00:00:00,3.90589E-09
2016-06-24 00:00:00,3.99443E-09
2016-06-25 00:00:00,4.08296E-09
2016-06-26 00:00:00,4.17149E-09
2016-06-27 00:00:00,4.26003E-09
2016-06-28 00:00:00,4.34856E-09
2016-06-29 00:00:00,4.43709E-09
2016-06-30 00:00:00,4.52562E-09
2016-07-01 00:00:00,4.61416E-09
2016-07-02 00:00:00,4.70269E-09
2016-07-03 00:00:00,4.79122E-09
2016-07-04 00:00:00,4.87976E-09
2016-07-05 00:00:00,4.96829E-09
2016-07-06 00:00:00,5.05682E-09
2016-07-07 00:00:00,5.14535E-09
2016-07-08 00:00:00,5.23389E-09
2016-07-09 00:00:00,5.32242E-09
2016-07-10 00:00:00,5.41095E-09
2016-07-11 00:00:00,5.49949E-09
2016-07-12 00:00:00,5.58802E-09
2016-07-13 00:00:00,5.67655E-09
2016-07-14 00:00:00,5.76508E-09
2016-07-15 00:00:00,5.85362E-09
2016-07-16 00:00:00,5.94215E-09
2016-07-17 00:00:00,6.03068E-09
2016-07-18 00:00:00,6.11921E-09
2016-07-19 00:00:00,6.20775E-09
2016-07-20 00:00:00,6.29628E-09
2016-07-21 00:00:00,6.38481E-09
2016-07-22 00:00:00,6.47335E-09
