DateTime,Depth,temp
2017-02-03,0,4.941888428
2017-02-04,0,4.645379639
2017-02-05,0,3.355493164
2017-02-06,0,5.02666626
2017-02-07,0,8.583917236
2017-02-08,0,7.529504395
2017-02-09,0,9.66427002
2017-02-10,0,7.861779785
2017-02-11,0,1.103631592
2017-02-12,0,0.055535889
2017-02-13,0,2.02489624
2017-02-14,0,0.807641602
2017-02-15,0,2.065148926
2017-02-16,0,0.742272949
2017-02-17,0,1.169335938
2017-02-18,0,2.225305176
2017-02-19,0,2.750421143
2017-02-20,0,3.248223877
2017-02-21,0,4.123254395
2017-02-22,0,2.297814941
2017-02-23,0,3.020623779
2017-02-24,0,1.597467041
2017-02-25,0,0.943597412
2017-02-26,0,0.375268555
2017-02-27,0,-0.113806152
2017-02-28,0,0.247766113
2017-03-01,0,1.627770996
2017-03-02,0,2.373803711
2017-03-03,0,1.394433594
2017-03-04,0,1.49855957
2017-03-05,0,4.167138672
2017-03-06,0,7.373834229
2017-03-07,0,9.78182373
2017-03-08,0,9.126306152
2017-03-09,0,8.37456665
2017-03-10,0,8.188134766
2017-03-11,0,5.178765869
2017-03-12,0,4.59887085
2017-03-13,0,6.595727539
2017-03-14,0,5.915917969
2017-03-15,0,6.264611816
2017-03-16,0,3.919061279
2017-03-17,0,2.993554688
2017-03-18,0,1.257958984
2017-03-19,0,-0.996923828
2017-03-20,0,-0.682043457
2017-03-21,0,1.697106934
2017-03-22,0,2.506921387
2017-03-23,0,1.381646729
2017-03-24,0,2.521783447
2017-03-25,0,7.209710693
2017-03-26,0,7.897241211
2017-03-27,0,7.344384766
2017-03-28,0,6.420220947
2017-03-29,0,6.459069824
2017-03-30,0,6.615380859
2017-03-31,0,6.876855469
2017-04-01,0,7.117089844
2017-04-02,0,7.21340332
2017-04-03,0,9.766717529
2017-04-04,0,10.10765991
2017-04-05,0,9.140679932
2017-04-06,0,8.324884033
2017-04-07,0,7.121240234
2017-04-08,0,7.524987793
2017-04-09,0,7.078759766
2017-04-10,0,6.603631592
2017-04-11,0,5.701165771
2017-04-12,0,5.944543457
2017-04-13,0,6.672113037
2017-04-14,0,7.019250488
2017-04-15,0,6.823297119
2017-04-16,0,7.037225342
2017-04-17,0,7.400994873
2017-04-18,0,8.326928711
2017-04-19,0,8.236627197
2017-04-20,0,8.9621521
2017-04-21,0,7.603997803
2017-04-22,0,7.186914063
2017-04-23,0,6.648828125
2017-04-24,0,8.448907471
2017-04-25,0,11.08236084
2017-04-26,0,11.41924438
2017-04-27,0,8.639215088
2017-04-28,0,8.256311035
2017-04-29,0,8.852380371
2017-04-30,0,6.235192871
2017-05-01,0,5.281488037
2017-05-02,0,6.125054932
2017-05-03,0,6.351251221
2017-05-04,0,8.548120117
2017-05-05,0,12.02233276
2017-05-06,0,13.48772583
2017-05-07,0,13.62267456
2017-05-08,0,10.93670044
2017-05-09,0,12.16964111
2017-05-10,0,11.49208984
2017-05-11,0,9.681390381
2017-05-12,0,6.249230957
2017-05-13,0,4.544549561
2017-05-14,0,5.679864502
2017-05-15,0,7.534112549
2017-05-16,0,10.82860718
2017-05-17,0,10.82979736
2017-05-18,0,10.50002441
2017-05-19,0,10.24788818
2017-05-20,0,11.884729
2017-05-21,0,13.76033936
2017-05-22,0,15.34053955
2017-05-23,0,14.91155396
2017-05-24,0,13.6553894
2017-05-25,0,12.09002075
2017-05-26,0,14.56575928
2017-05-27,0,13.1440979
2017-05-28,0,10.77474365
2017-05-29,0,10.83275757
2017-05-30,0,11.8336731
2017-05-31,0,10.40154419
2017-06-01,0,8.897698975
2017-06-02,0,10.36638794
2017-06-03,0,9.358026123
2017-06-04,0,10.26903687
2017-06-05,0,11.99343262
2017-06-06,0,12.39443359
2017-06-07,0,12.6718689
2017-06-08,0,15.01650391
2017-06-09,0,16.11303101
2017-06-10,0,17.76488647
2017-06-11,0,17.85561523
2017-06-12,0,13.0125061
2017-06-13,0,11.82363281
2017-06-14,0,13.53661499
2017-06-15,0,15.61980591
2017-06-16,0,16.58849487
2017-06-17,0,18.60512695
2017-06-18,0,15.16988525
2017-06-19,0,14.49852905
2017-06-20,0,14.35021362
2017-06-21,0,15.84395752
2017-06-22,0,15.61089478
2017-06-23,0,14.84780273
2017-06-24,0,15.88509521
2017-06-25,0,16.22362671
2017-06-26,0,17.40221558
2017-06-27,0,16.51488647
2017-06-28,0,15.08950195
2017-06-29,0,16.34331665
2017-06-30,0,16.24367676
2017-07-01,0,13.34099731
2017-07-02,0,14.4777771
2017-07-03,0,16.51043091
2017-07-04,0,16.20891724
2017-07-05,0,16.38070068
2017-07-06,0,15.4878479
2017-07-07,0,18.22539673
2017-07-08,0,17.65422974
2017-07-09,0,15.45281372
2017-07-10,0,17.67473755
2017-07-11,0,16.55932007
2017-07-12,0,14.06429443
2017-07-13,0,16.73879395
2017-07-14,0,16.7690979
2017-07-15,0,18.01726685
2017-07-16,0,16.56539307
2017-07-17,0,20.84176025
2017-07-18,0,21.56246338
2017-07-19,0,16.65926514
2017-07-20,0,13.51061401
2017-07-21,0,15.10497437
2017-07-22,0,16.20348511
2017-07-23,0,17.45617065
2017-07-24,0,17.2427002
2017-07-25,0,18.18114624
2017-07-26,0,18.96611938
2017-07-27,0,20.02617798
2017-07-28,0,17.58754883
2017-07-29,0,20.19216309
2017-07-30,0,16.17489014
2017-07-31,0,15.23690186
2017-08-01,0,15.84575806
2017-08-02,0,17.91811523
2017-08-03,0,18.67955933
2017-08-04,0,16.80541382
2017-08-05,0,15.81841431
2017-08-06,0,17.65603027
2017-08-07,0,20.10161743
2017-08-08,0,20.95171509
2017-08-09,0,20.08257446
2017-08-10,0,18.73607788
2017-08-11,0,19.09972534
2017-08-12,0,19.20623169
2017-08-13,0,17.73366699
2017-08-14,0,17.8628479
2017-08-15,0,18.36055908
2017-08-16,0,15.61660156
2017-08-17,0,17.79052124
2017-08-18,0,16.79104004
2017-08-19,0,14.75151978
2017-08-20,0,14.72322998
2017-08-21,0,11.24956665
2017-08-22,0,13.1718689
2017-08-23,0,15.20189819
2017-08-24,0,14.87401733
2017-08-25,0,15.63692627
2017-08-26,0,17.43886719
2017-08-27,0,15.09255371
2017-08-28,0,14.61071167
2017-08-29,0,13.88250122
2017-08-30,0,14.23775635
2017-08-31,0,12.08178101
2017-09-01,0,10.69204102
2017-09-02,0,11.43843994
2017-09-03,0,11.60787354
2017-09-04,0,15.18166504
2017-09-05,0,11.02059326
2017-09-06,0,10.93319092
2017-09-07,0,11.14165649
2017-09-08,0,13.63009033
2017-09-09,0,14.65282593
2017-09-10,0,15.30114136
2017-09-11,0,15.11687622
2017-09-12,0,10.58873901
2017-09-13,0,10.31469116
2017-09-14,0,11.65923462
2017-09-15,0,12.47026978
2017-09-16,0,6.202020264
2017-09-17,0,7.287988281
2017-09-18,0,6.024468994
2017-09-19,0,5.022943115
2017-09-20,0,5.896936035
2017-09-21,0,10.4588562
2017-09-22,0,10.62523804
2017-09-23,0,10.22277222
2017-09-24,0,11.42519531
2017-09-25,0,12.38460693
2017-09-26,0,11.5828186
2017-09-27,0,15.01168213
2017-09-28,0,12.16347656
2017-09-29,0,9.620629883
2017-09-30,0,8.720056152
